Website,Acceptance Status,Green Icons Count,Check 1,Check 2,Check 3,Check 4,Check 5
mit.edu,Error: redirected to web.mit.edu,0,,,,,
harvard.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
stanford.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
berkeley.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
cornell.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
washington.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
princeton.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
academia.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
columbia.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
umich.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
yale.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
psu.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
upenn.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
uci.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
umn.edu,Error,0,,,,,
wisc.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
jhu.edu,Error,0,,,,,
ucla.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
cmu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
si.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uchicago.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
utexas.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uiuc.edu,Error,0,,,,,
nyu.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
purdue.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
usc.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
ucsd.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
ufl.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
duke.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
umd.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
unc.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
msu.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
illinois.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
ucdavis.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
northwestern.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
colorado.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
asu.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
rutgers.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
arizona.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
virginia.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
brookings.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
osu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
bu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
tamu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
wustl.edu,Error,0,,,,,
ncsu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
utah.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
pitt.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
ucsb.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
georgetown.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
indiana.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
tufts.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
caltech.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
unl.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
vt.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
hawaii.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
cuny.edu,Error,0,,,,,
brown.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
hbs.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
iu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
gatech.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
rochester.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
umass.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
uga.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
vanderbilt.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
wsu.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
usf.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
fsu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
dartmouth.edu,Error,0,,,,,
byu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
unimelb.edu.au,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
uic.edu,Not Accepted,3,1.0,0.0,1.0,1.0,0.0
buffalo.edu,Not Accepted,1,0.0,0.0,0.0,1.0,0.0
emory.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
ucsc.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
ucr.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
missouri.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
uh.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
rpi.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
utk.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
miami.edu,Error,0,,,,,
nus.edu.sg,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
unm.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
northeastern.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
case.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
bc.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
clemson.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
rit.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
sydney.edu.au,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
ucf.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
lsu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
temple.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
sdsu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
fordham.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
drexel.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
american.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uvm.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
ub.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
vcu.edu,Error,0,,,,,
ou.edu,Not Accepted,1,1.0,0.0,0.0,0.0,0.0
tulane.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
auburn.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
baylor.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
wvu.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
uab.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
csun.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
rmit.edu.au,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
umbc.edu,Error,0,,,,,
alaska.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
fullerton.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uwm.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
unlv.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
stonybrook.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
sfsu.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
du.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
ucpress.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
albany.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
depaul.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
artic.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
niu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
unu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
upf.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
nau.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
montana.edu,Not Accepted,3,1.0,0.0,1.0,1.0,0.0
swarthmore.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
umkc.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
toronto.edu,Error,0,,,,,
iit.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
umb.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
chop.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
marquette.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uta.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
jhsph.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
ohio.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
louisville.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
slu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
wpi.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
csulb.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
odu.edu,Error,0,,,,,
jmu.edu,Error,0,,,,,
maine.edu,Not Accepted,1,0.0,0.0,0.0,1.0,0.0
sandiego.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
austlii.edu.au,Accepted,5,1.0,1.0,1.0,1.0,1.0
ucanr.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
usra.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
villanova.edu,Error,0,,,,,
liberty.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
njit.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
uj.edu.pl,Error,0,,,,,
udayton.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
jhuapl.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
ecu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
montclair.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
appstate.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uml.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
uoc.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
maryville.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
miamioh.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
insead.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
amherst.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
bard.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
wellesley.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uillinois.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
bsu.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
clarku.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
rush.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
uakron.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
metu.edu.tr,Not Accepted,0,0.0,0.0,0.0,0.0,0.0
amu.edu.pl,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
unomaha.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
qu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
hofstra.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
unf.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
tennessee.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
maricopa.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
umsl.edu,Not Accepted,2,1.0,0.0,0.0,1.0,0.0
ntnu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uncc.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
syracuse.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
phoenix.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
ucop.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
wichita.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
calstatela.edu,Not Accepted,1,0.0,0.0,0.0,1.0,0.0
snhu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
oakland.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
towson.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
csusb.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
ucmerced.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
kenyon.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
gettysburg.edu,Error,0,,,,,
ias.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
emich.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
wisconsin.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
pomona.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
mei.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
gcu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
agh.edu.pl,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
seattleu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
kumc.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
pw.edu.pl,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
trincoll.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
une.edu.au,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
northwestu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
ku.edu.tr,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
wakehealth.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
hamilton.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uccs.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
hanover.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
iese.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
boun.edu.tr,Error,0,,,,,
nmt.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
smu.edu.sg,Accepted,5,1.0,1.0,1.0,1.0,1.0
lamar.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
acenet.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
upi.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
nccu.edu.tw,Error,0,,,,,
ohiolink.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
lclark.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
tilburguniversity.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
webster.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
atauni.edu.tr,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
tcnj.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
gallaudet.edu,Not Accepted,0,0.0,0.0,0.0,0.0,0.0
ankara.edu.tr,Accepted,5,1.0,1.0,1.0,1.0,1.0
scad.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
astate.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
ksu.edu.sa,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
aucegypt.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
louisiana.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
nmims.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
a-star.edu.sg,Error,0,,,,,
nps.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
loyola.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
wcu.edu,Error,0,,,,,
uopeople.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
austincc.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
aub.edu.lb,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
valpo.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
andrews.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uprm.edu,Not Accepted,2,1.0,0.0,0.0,1.0,0.0
anadolu.edu.tr,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
augusta.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
umsystem.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
upr.edu,Not Accepted,0,0.0,0.0,0.0,0.0,0.0
bond.edu.au,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
acu.edu.au,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
uww.edu,Not Accepted,1,0.0,0.0,0.0,0.0,1.0
juilliard.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
cqu.edu.au,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
amity.edu,Error,0,,,,,
udg.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
belmont.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
aces.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
valdosta.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
artcenter.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
widener.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
hec.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
siena.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
stkate.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
hccs.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
lawrence.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
winthrop.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
polytechnique.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
csueastbay.edu,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
excelsior.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
sae.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
alexu.edu.eg,Error,0,,,,,
wpunj.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
smccd.edu,Not Accepted,3,1.0,0.0,1.0,1.0,0.0
emporia.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
artinstitutes.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
gustavus.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
stlawu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
losrios.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
akdeniz.edu.tr,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
augsburg.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
southernct.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
apus.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
cca.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
augustana.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
essec.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
omu.edu.tr,Not Accepted,4,1.0,0.0,1.0,1.0,1.0
annauniv.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
alquds.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
csp.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
au.edu,Error,0,,,,,
eurac.edu,Accepted,5,1.0,1.0,1.0,1.0,1.0
cu.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
agnesscott.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
noirlab.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
anselm.edu,Not Accepted,3,1.0,0.0,0.0,1.0,1.0
apsu.edu,Not Accepted,2,1.0,0.0,0.0,0.0,1.0
just.edu.jo,Accepted,5,1.0,1.0,1.0,1.0,1.0
cu.edu.eg,Error,0,,,,,
